Sample_ID	Animal	Week	Day	Group	Treatment	Regimen	Time
X11C044_W_.1B	11C044	Baseline	0	5	R21+MatrixM	Primary	Baseline.Day.0
X11C044_W0_D1B	11C044	W0	1	5	R21+MatrixM	Primary	W0.Day.1
X11C044_W1B	11C044	W1	7	5	R21+MatrixM	Primary	W1.Day.0
X11C044_W4B	11C044	W4	28	5	R21+MatrixM	Primary	W4.Day.0
A10L002_W_.1B	A10L002	Baseline	0	5	R21+MatrixM	Primary	Baseline.Day.0
A10L002_W0_D1B	A10L002	W0	1	5	R21+MatrixM	Primary	W0.Day.1
A10L002_W1B	A10L002	W1	7	5	R21+MatrixM	Primary	W1.Day.0
A10L002_W4B	A10L002	W4	28	5	R21+MatrixM	Primary	W4.Day.0
A10L018_W_.1B	A10L018	Baseline	0	5	R21+MatrixM	Primary	Baseline.Day.0
A10L018_W0_D1B	A10L018	W0	1	5	R21+MatrixM	Primary	W0.Day.1
A10L018_W1B	A10L018	W1	7	5	R21+MatrixM	Primary	W1.Day.0
A10L018_W4B	A10L018	W4	28	5	R21+MatrixM	Primary	W4.Day.0
A10L091_W_.1B	A10L091	Baseline	0	5	R21+MatrixM	Primary	Baseline.Day.0
A10L091_W0_D1B	A10L091	W0	1	5	R21+MatrixM	Primary	W0.Day.1
A10L091_W1B	A10L091	W1	7	5	R21+MatrixM	Primary	W1.Day.0
A10L091_W4B	A10L091	W4	28	5	R21+MatrixM	Primary	W4.Day.0
A10N096_W_.1B	A10N096	Baseline	0	3	R21+3M-052-Alum	Primary	Baseline.Day.0
A10N096_W0_D1B	A10N096	W0	1	3	R21+3M-052-Alum	Primary	W0.Day.1
A10N096_W1B	A10N096	W1	7	3	R21+3M-052-Alum	Primary	W1.Day.0
A10N096_W4B	A10N096	W4	28	3	R21+3M-052-Alum	Primary	W4.Day.0
A11L072_W_.1B	A11L072	Baseline	0	5	R21+MatrixM	Primary	Baseline.Day.0
A11L072_W0_D1B	A11L072	W0	1	5	R21+MatrixM	Primary	W0.Day.1
A11L072_W1B	A11L072	W1	7	5	R21+MatrixM	Primary	W1.Day.0
A11L072_W4B	A11L072	W4	28	5	R21+MatrixM	Primary	W4.Day.0
A12X028_W_.1B	A12X028	Baseline	0	3	R21+3M-052-Alum	Primary	Baseline.Day.0
A12X028_W0_D1B	A12X028	W0	1	3	R21+3M-052-Alum	Primary	W0.Day.1
A12X028_W1B	A12X028	W1	7	3	R21+3M-052-Alum	Primary	W1.Day.0
A12X028_W4B	A12X028	W4	28	3	R21+3M-052-Alum	Primary	W4.Day.0
A13L131_W_.1B	A13L131	Baseline	0	5	R21+MatrixM	Primary	Baseline.Day.0
A13L131_W0_D1B	A13L131	W0	1	5	R21+MatrixM	Primary	W0.Day.1
A13L131_W1B	A13L131	W1	7	5	R21+MatrixM	Primary	W1.Day.0
A13L131_W4B	A13L131	W4	28	5	R21+MatrixM	Primary	W4.Day.0
A14X028_W_.2B	A14X028	Baseline	0	6	R21+3M-052-Alum	Primary	Baseline.Day.0
A14X028_W0_D1B	A14X028	W0	1	6	R21+3M-052-Alum	Primary	W0.Day.1
A14X028_W1B	A14X028	W1	7	6	R21+3M-052-Alum	Primary	W1.Day.0
A14X028_W4B	A14X028	W4	28	6	R21+3M-052-Alum	Primary	W4.Day.0
A14X077_W_.2B	A14X077	Baseline	0	6	R21+3M-052-Alum	Primary	Baseline.Day.0
A14X077_W0_D1B	A14X077	W0	1	6	R21+3M-052-Alum	Primary	W0.Day.1
A14X077_W1B	A14X077	W1	7	6	R21+3M-052-Alum	Primary	W1.Day.0
A14X077_W4B	A14X077	W4	28	6	R21+3M-052-Alum	Primary	W4.Day.0
A14X078_W_.2B	A14X078	Baseline	0	6	R21+3M-052-Alum	Primary	Baseline.Day.0
A14X078_W0_D1B	A14X078	W0	1	6	R21+3M-052-Alum	Primary	W0.Day.1
A14X078_W1B	A14X078	W1	7	6	R21+3M-052-Alum	Primary	W1.Day.0
A14X078_W4B	A14X078	W4	28	6	R21+3M-052-Alum	Primary	W4.Day.0
A15N125_W_.2B	A15N125	Baseline	0	6	R21+3M-052-Alum	Primary	Baseline.Day.0
A15N125_W0_D1B	A15N125	W0	1	6	R21+3M-052-Alum	Primary	W0.Day.1
A15N125_W1B	A15N125	W1	7	6	R21+3M-052-Alum	Primary	W1.Day.0
A15N125_W4B	A15N125	W4	28	6	R21+3M-052-Alum	Primary	W4.Day.0
A15N189_W_.2B	A15N189	Baseline	0	6	R21+3M-052-Alum	Primary	Baseline.Day.0
A15N189_W0_D1B	A15N189	W0	1	6	R21+3M-052-Alum	Primary	W0.Day.1
A15N189_W1B	A15N189	W1	7	6	R21+3M-052-Alum	Primary	W1.Day.0
A15N189_W4B	A15N189	W4	28	6	R21+3M-052-Alum	Primary	W4.Day.0
A15N234_W_.2B	A15N234	Baseline	0	6	R21+3M-052-Alum	Primary	Baseline.Day.0
A15N234_W0_D1B	A15N234	W0	1	6	R21+3M-052-Alum	Primary	W0.Day.1
A15N234_W1B	A15N234	W1	7	6	R21+3M-052-Alum	Primary	W1.Day.0
A15N234_W4B	A15N234	W4	28	6	R21+3M-052-Alum	Primary	W4.Day.0
A2X010_W_.1B	A2X010	Baseline	0	5	R21+MatrixM	Primary	Baseline.Day.0
A2X010_W0_D1B	A2X010	W0	1	5	R21+MatrixM	Primary	W0.Day.1
A2X010_W1B	A2X010	W1	7	5	R21+MatrixM	Primary	W1.Day.0
A2X010_W4B	A2X010	W4	28	5	R21+MatrixM	Primary	W4.Day.0
A2X042_W_.1B	A2X042	Baseline	0	5	R21+MatrixM	Primary	Baseline.Day.0
A2X042_W0_D1B	A2X042	W0	1	5	R21+MatrixM	Primary	W0.Day.1
A2X042_W1B	A2X042	W1	7	5	R21+MatrixM	Primary	W1.Day.0
A2X042_W4B	A2X042	W4	28	5	R21+MatrixM	Primary	W4.Day.0
A5R055_W_.2B	A5R055	Baseline	0	4	R21+GLA_LSQ	Primary	Baseline.Day.0
A5R055_W0_D1B	A5R055	W0	1	4	R21+GLA_LSQ	Primary	W0.Day.1
A5R055_W1B	A5R055	W1	7	4	R21+GLA_LSQ	Primary	W1.Day.0
A5R055_W4B	A5R055	W4	28	4	R21+GLA_LSQ	Primary	W4.Day.0
A6N134_W_.2B	A6N134	Baseline	0	4	R21+GLA_LSQ	Primary	Baseline.Day.0
A6N134_W0_D1B	A6N134	W0	1	4	R21+GLA_LSQ	Primary	W0.Day.1
A6N134_W1B	A6N134	W1	7	4	R21+GLA_LSQ	Primary	W1.Day.0
A6N134_W4B	A6N134	W4	28	4	R21+GLA_LSQ	Primary	W4.Day.0
A6X018_W_.2B	A6X018	Baseline	0	4	R21+GLA_LSQ	Primary	Baseline.Day.0
A6X018_W0_D1B	A6X018	W0	1	4	R21+GLA_LSQ	Primary	W0.Day.1
A6X018_W1B	A6X018	W1	7	4	R21+GLA_LSQ	Primary	W1.Day.0
A6X018_W4B	A6X018	W4	28	4	R21+GLA_LSQ	Primary	W4.Day.0
A7N035_W_.1B	A7N035	Baseline	0	3	R21+3M-052-Alum	Primary	Baseline.Day.0
A7N035_W0_D1B	A7N035	W0	1	3	R21+3M-052-Alum	Primary	W0.Day.1
A7N035_W1B	A7N035	W1	7	3	R21+3M-052-Alum	Primary	W1.Day.0
A7N035_W4B	A7N035	W4	28	3	R21+3M-052-Alum	Primary	W4.Day.0
A7N043_W_.2B	A7N043	Baseline	0	4	R21+GLA_LSQ	Primary	Baseline.Day.0
A7N043_W0_D1B	A7N043	W0	1	4	R21+GLA_LSQ	Primary	W0.Day.1
A7N043_W1B	A7N043	W1	7	4	R21+GLA_LSQ	Primary	W1.Day.0
A7N043_W4B	A7N043	W4	28	4	R21+GLA_LSQ	Primary	W4.Day.0
A7N070_W_.2B	A7N070	Baseline	0	4	R21+GLA_LSQ	Primary	Baseline.Day.0
A7N070_W0_D1B	A7N070	W0	1	4	R21+GLA_LSQ	Primary	W0.Day.1
A7N070_W1B	A7N070	W1	7	4	R21+GLA_LSQ	Primary	W1.Day.0
A7N070_W4B	A7N070	W4	28	4	R21+GLA_LSQ	Primary	W4.Day.0
A7N104_W_.1B	A7N104	Baseline	0	3	R21+3M-052-Alum	Primary	Baseline.Day.0
A7N104_W0_D1B	A7N104	W0	1	3	R21+3M-052-Alum	Primary	W0.Day.1
A7N104_W1B	A7N104	W1	7	3	R21+3M-052-Alum	Primary	W1.Day.0
A7N104_W4B	A7N104	W4	28	3	R21+3M-052-Alum	Primary	W4.Day.0
A7N137_W_.2B	A7N137	Baseline	0	4	R21+GLA_LSQ	Primary	Baseline.Day.0
A7N137_W0_D1B	A7N137	W0	1	4	R21+GLA_LSQ	Primary	W0.Day.1
A7N137_W1B	A7N137	W1	7	4	R21+GLA_LSQ	Primary	W1.Day.0
A7N137_W4B	A7N137	W4	28	4	R21+GLA_LSQ	Primary	W4.Day.0
A7N155_W_.1B	A7N155	Baseline	0	3	R21+3M-052-Alum	Primary	Baseline.Day.0
A7N155_W0_D1B	A7N155	W0	1	3	R21+3M-052-Alum	Primary	W0.Day.1
A7N155_W1B	A7N155	W1	7	3	R21+3M-052-Alum	Primary	W1.Day.0
A7N155_W4B	A7N155	W4	28	3	R21+3M-052-Alum	Primary	W4.Day.0
A8X014_W_.1B	A8X014	Baseline	0	5	R21+MatrixM	Primary	Baseline.Day.0
A8X014_W0_D1B	A8X014	W0	1	5	R21+MatrixM	Primary	W0.Day.1
